policy,budget,B_kl_mean,B_kl_se,n
Uniform SQD,2000,322.741,3.47,200
Uniform SQD,4000,631.622,6.286,200
Uniform SQD,8000,1233.799,7.675,200
Uniform SQD,16000,2471.476,11.7,200
Uniform SQD,32000,4866.318,16.712,200
A-OSQD,2000,1121.874,8.07,200
A-OSQD,4000,2225.207,11.037,200
A-OSQD,8000,4462.815,14.76,200
A-OSQD,16000,8850.559,20.733,200
A-OSQD,32000,17767.851,31.095,200
Discriminative Score OED,2000,89.185,3.617,200
Discriminative Score OED,4000,122.273,4.967,200
Discriminative Score OED,8000,187.664,9.5,200
Discriminative Score OED,16000,264.862,11.614,200
Discriminative Score OED,32000,3435.414,276.441,200
learned RR-GID,2000,83.107,3.45,200
learned RR-GID,4000,110.787,4.318,200
learned RR-GID,8000,180.152,11.739,200
learned RR-GID,16000,264.501,18.859,200
learned RR-GID,32000,3107.037,310.918,200
