policy,budget,B_kl_mean,B_kl_se,n
Uniform SQD,400,159.749,3.697,200
Uniform SQD,800,315.718,5.684,200
Uniform SQD,1600,623.281,13.272,200
Uniform SQD,3200,1332.377,25.386,200
A-OSQD,400,159.815,3.747,200
A-OSQD,800,313.602,5.679,200
A-OSQD,1600,623.832,13.185,200
A-OSQD,3200,1326.318,25.452,200
Discriminative Score OED,400,159.626,3.716,200
Discriminative Score OED,800,318.255,5.754,200
Discriminative Score OED,1600,629.396,13.311,200
Discriminative Score OED,3200,1345.185,25.498,200
RR-GID,400,161.23,3.771,200
RR-GID,800,317.695,5.728,200
RR-GID,1600,630.469,13.33,200
RR-GID,3200,1343.859,25.575,200
