campaign,policy,projection_loss_mean,projection_loss_se,heldout_mean_rmse_mean,heldout_mean_rmse_se,c2st_auc_mean,c2st_auc_se,ess_mean,ess_se
batch7,Uniform SQD,-0.527,0.003,0.28,0.0,1.0,0.0,0.611,0.002
batch7,A-OSQD,-0.527,0.003,0.28,0.0,1.0,0.0,0.311,0.001
batch7,Discriminative Score OED,-0.527,0.003,0.28,0.0,1.0,0.0,0.608,0.002
batch7,RR-GID,-0.527,0.003,0.28,0.0,1.0,0.0,0.85,0.001
batches89,Uniform SQD,-0.419,0.001,0.648,0.001,1.0,0.0,0.938,0.001
batches89,A-OSQD,-0.419,0.001,0.648,0.001,1.0,0.0,0.674,0.003
batches89,Discriminative Score OED,-0.419,0.001,0.648,0.001,1.0,0.0,0.931,0.001
batches89,RR-GID,-0.419,0.001,0.648,0.001,1.0,0.0,0.962,0.001
batch10,Uniform SQD,-0.544,0.001,0.328,0.0,1.0,0.0,0.829,0.001
batch10,A-OSQD,-0.544,0.001,0.328,0.0,1.0,0.0,0.767,0.001
batch10,Discriminative Score OED,-0.544,0.001,0.328,0.0,1.0,0.0,0.83,0.001
batch10,RR-GID,-0.544,0.001,0.328,0.0,1.0,0.0,0.737,0.001
